プレハブ名,形状,セル数,検証数,画像ずれ,画像エラー,最小一致率,詳細
DailyStage001,Square,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage002,Hex,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage003,Square,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage004,Hex,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage005,Square,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage006,Hex,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage007,Square,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage008,Hex,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage009,Square,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage010,Hex,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage011,Square,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage012,Hex,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage013,Square,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage014,Hex,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage015,Square,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage016,Hex,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage017,Square,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage018,Hex,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage019,Square,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage020,Hex,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage021,Square,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage022,Hex,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage023,Square,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage024,Hex,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage025,Square,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage026,Hex,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage027,Square,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage028,Hex,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage029,Square,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage030,Hex,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
DailyStage031,Hex,63,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 63セル "
Stage001,Square,12,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 12セル "
Stage002,Square,12,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 12セル "
Stage003,Square,20,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 20セル "
Stage004,Triangle,12,0,なし,なし,100.0 %,"AddressableImageLoaderなし: 12セル "
Stage005,Triangle,12,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 12セル "
Stage006,Triangle,20,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 20セル "
Stage007,Hex,12,0,なし,なし,100.0 %,"AddressableImageLoaderなし: 12セル "
Stage008,Hex,12,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 12セル "
Stage009,Hex,20,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 20セル "
Stage010,Square,20,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 20セル "
Stage011,Square,20,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 20セル "
Stage012,Square,35,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 35セル "
Stage013,Triangle,20,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 20セル "
Stage014,Triangle,20,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 20セル "
Stage015,Triangle,36,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 36セル "
Stage016,Hex,20,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 20セル "
Stage017,Hex,20,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 20セル "
Stage018,Hex,35,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 35セル "
Stage019,Square,20,0,なし,なし,100.0 %,"Texture取得失敗/読取不可: 20セル "
